"USNM.no.","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight"
"608335","Setophaga caerulescens","16","Jun","92","1.5mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3269,"GRG","CJD","T-989","SY","6x5, 5x5",9.3,"partial",61.2,52.8,3,4,11.1,6.8,NA,NA,"green",10.6,14.5,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 2.5Y 3/2; foot pads yellowish; no fat; stomach saved; no molt","",NA
"608336","Setophaga caerulescens","16","Jun","92","1.5mi NE Lyman Lake on Rock Run Rd., Susquehannock State Forest; 650m","Potter","PA","M","PA.Potter","Central",41.72457,-77.75484,3211,"GRG","JPD","T-931","SY","7x4.5, 6.5x5",8.9,"partial",62.4,51.6,2.9,4,10.7,6.9,NA,NA,"green",15.4,18.2,2,2,2,2,NA,"bill black; mouth lining cream; legs Munsell 2.5Y 4/4; light fat; no molt - wings and tail worn; stomach saved","",NA
"608338","Setophaga caerulescens","16","Jun","92","1.5mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3271,"GRG","CJD","T-991","ASY","8x6, 5x4",9.1,"partial",65,55.2,3.2,3.9,10.4,7,NA,NA,"blue",18.7,18.1,2,2,2,2,NA,"bill black; mouth lining dark brown; legs munsell 2.5Y 4/2; foot pads yellowish; no fat; stomach saved; no molt","",NA
"608340","Setophaga caerulescens","16","Jun","92","1.5mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3208,"GRG","CJD","T-928","SY","6.5x5, 5x5",8.8,"partial",57.3,54.9,2.8,4.1,10.3,6.7,NA,NA,"green",10.8,10.8,2,2,2,2,NA,"bill black; mouth lining cream; legs munsell 5Y 3/2; no fat; stomach saved; no molt","",NA
"608346","Setophaga caerulescens","16","Jun","92","2.5mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3275,"GRG","JPD","T-995","SY","7x5.5, 6.5x5",10,"partial",59.8,55.6,3.2,4,NA,NA,NA,NA,"green",11.8,10,2,2,2,2,NA,"bill black; legs munsell 5Y 4/2; moderate fat; stomach saved; no molt; bill broken","",NA
"608347","Setophaga caerulescens","16","Jun","92","2.75mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3276,"GRG","JPD","T-996","ASY","6.5x5, 7x5.5",9.4,"partial",66.2,52.5,3.3,4.2,11,6.8,NA,NA,"blue",14.8,15.1,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 2.5Y 4/4; moderate fat; stomach saved; no molt","",NA
"608348","Setophaga caerulescens","17","Jun","92","3mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3277,"GRG","JPD","T-997","SY","7x5, 6x5",9.35,"partial",59.8,50.3,3,4,10.8,7.6,NA,NA,"green",9.7,10.1,2,2,2,2,NA,"bill black; mouth lining black; legs munsell 5Y 4/4; light fat; stomach saved; no molt","",NA
"608350","Setophaga caerulescens","17","Jun","92","3mi NNE Lyman Lake on side road off Rock Run Rd., Susquehannock State Forest; 700m","Potter","PA","M","PA.Potter","Central",41.7220797,-77.7767117,3279,"GRG","CJD","T-999","ASY","7x5, 5x5",9.3,"partial",64.4,47.9,3.2,4.1,10.8,7.2,NA,NA,"blue",16.7,17.2,2,2,2,2,NA,"bill black; mouth lining brown; legs munsell 2.5Y 3/2; light fat; stomach saved; no molt; some throat feathers in sheath","",NA
"608370","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3239,"GRG","CJD","T-959","ASY","9x6, 6x5",9.3,"partial",63.5,52.8,2.8,3.9,10,6.2,NA,NA,"blue",15.9,15.3,2,2,2,2,NA,"bill black; mouth lining brown; legs munsell 5Y 2.5/1; light fat; stomach saved; no molt","",NA
"608371","Setophaga caerulescens","20","Jun","92","1.5mi SSE Denman Mountain, Catskills State Park; 650m","Sullivan","NY","M","NY.Sullivan","North Central",41.90287,-74.5396005,3240,"GRG","CJD","T-960","ASY","6x5, 5x4",9.6,"partial",60,48.1,3.1,4,10.4,6.5,NA,NA,"blue",11.6,18.3,2,2,2,2,NA,"bill black; mouth lining dark brown; legs munsell 5Y 3/1; no fat; stomach saved; no molt","",NA
