"ID","feather_ID","Comments","black segment","clear segment","sum_length","perc_black","perc_clear"
"BW15113","R_f2","b2",2.247073322372,0.043379021322,2.290452343694,0.98106093696233,0.0189390630376701
"BW15113","R_f2","b6",2.929106442898,1.215094907568,4.144201350466,0.706796363204851,0.293203636795149
"BW15113","R_f3","b10",0.511661956753,4.83799022249,5.349652179243,0.0956439670486021,0.904356032951398
"BW15113","R_f3","b2",1.904939982365,0.679842336791,2.584782319156,0.73698275024839,0.26301724975161
"BW15113","R_f3","b6",1.97100718256,1.52822692416,3.49923410672,0.563268167389783,0.436731832610217
"BW15114","f1","b1",NA,0.979068102356,0.979068102356,NA,1
"BW15114","f1","b10",1.113062367839,3.885013239321,4.99807560716,0.222698185326465,0.777301814673535
"BW15114","f1","b2",NA,2.129541209572,2.129541209572,NA,1
"BW15114","f1","b3",NA,0.638277321349,0.638277321349,NA,1
"BW15114","f1","b4",0.544726545145,2.305592755968,2.850319301113,0.191110709923725,0.808889290076275
"BW15114","f1","b5",0.691991115821,2.408529412063,3.100520527884,0.223185465020372,0.776814534979628
"BW15114","f1","b6",0.329965631711,3.724113332977,4.054078964688,0.081391022371562,0.918608977628438
"BW15114","f1","b7",0.920077466054,2.506340107922,3.426417573976,0.268524616801549,0.73147538319845
"BW15114","f1","b8",1.331292726944,3.280968532035,4.612261258979,0.288642089463662,0.711357910536338
"BW15114","f1","b9",0.778628924248,4.152571949934,4.931200874182,0.157898439774502,0.842101560225498
"BW15114","f2","b1",NA,1.638877164572,1.638877164572,NA,1
"BW15114","f2","b10",0.809657992249,4.894936788968,5.704594781217,0.141930851059726,0.858069148940274
"BW15114","f2","b2",0.115572668752,2.351753450014,2.467326118766,0.0468412618311689,0.953158738168831
"BW15114","f2","b3",0.48059790862,2.500006562661,2.980604471281,0.16124175926417,0.83875824073583
"BW15114","f2","b4",0.474069637265,3.019099004781,3.493168642046,0.13571335536418,0.86428664463582
"BW15114","f2","b5",1.226181852924,3.563240935015,4.789422787939,0.25601871190237,0.74398128809763
"BW15114","f2","b6",0.355360760712,3.218881197994,3.574241958706,0.0994226929283358,0.900577307071664
"BW15114","f2","b7",1.095910589309,3.657124836086,4.753035425395,0.230570675626287,0.769429324373713
"BW15114","f2","b8",0.37139686877,3.113256470297,3.484653339067,0.106580721992116,0.893419278007884
"BW15114","f2","b9",1.084041968001,4.335943948157,5.419985916158,0.200008262894054,0.799991737105946
"BW15114","f3","b1",NA,0.907529553977,0.907529553977,NA,1
"BW15114","f3","b10",0.033553745538,4.621347801012,4.65490154655,0.00720826105610515,0.992791738943895
"BW15114","f3","b2",NA,1.700024070994,1.700024070994,NA,1
"BW15114","f3","b3",NA,2.366898251688,2.366898251688,NA,1
"BW15114","f3","b4",NA,2.344678523388,2.344678523388,NA,1
"BW15114","f3","b5",NA,3.038664510151,3.038664510151,NA,1
"BW15114","f3","b6",NA,3.443687214332,3.443687214332,NA,1
"BW15114","f3","b7",0.058489207272,2.624943781297,2.683432988569,0.0217964106132535,0.978203589386747
"BW15114","f3","b8",NA,3.859508820302,3.859508820302,NA,1
"BW15114","f3","b9",NA,4.387543711298,4.387543711298,NA,1
