"ID","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area_mm2","Species","Day","Month","Year","Locality","County","State.Province","Sex","pop","Region","lat","lon","GRG.no.","Collector","prepartor","tissue.no.","Age","testes.L.R","weight.g","skeleton","wing.R.mm","tail.mm","bill.depth.mm","bill.width.mm","bill.culmen.mm","bill.nares.mm","tarsus1.mm","tarsus2.mm","alula","wing.spot.L.mm","wing.spot.R.mm","dorsal.photoID","side.photoID","crown.photoID","ventral.photoID","file.loc","comments_specimen","comments_analysis","Weight","Tarsometatarsus"
"606633","b",0.386772487333333,0.0449684996666667,0.401966839666667,0.0487981173333333,0.393085025,0.0470606283333333,0.318766982,0.038751904,0.366217567333333,0.049845594,0.386772487333333,0.0449684996666667,24.8194157753174,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606633","c",0.065806154,0.025154475,0.054128732,0.022765024,0.068945475,0.026832826,0.083847306,0.02879231,0.134914677,0.03965904,0.065806154,0.025154475,72.3775567648715,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606633","d",0.0588942816666667,0.011918712,0.0535230293333333,0.0107359336666667,0.060663817,0.0130777063333333,0.073925073,0.0152328953333333,0.083294969,0.01720366,0.0588942816666667,0.011918712,24.6360167636204,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606633","o",0.073561843,0.019191481,0.07169886,0.022170438,0.074788826,0.019728178,0.083500488,0.014238265,0.087428626,0.012255199,0.073561843,0.019191481,3.19459560893226,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606633","t",0.05155275,0.009351612,0.047081191,0.011298103,0.053178413,0.010079548,0.065464366,0.008946516,0.061876785,0.00962953,0.05155275,0.009351612,118.852317507975,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606633","w",0.42334274,0.125053333,0.433054892,0.131718758,0.427469253,0.12824163,0.363512488,0.094513357,0.422425557,0.089527921,0.42334274,0.125053333,46.9859260649278,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2503,"GRG","JPA","T-471-a,b","ASY",NA,NA,"partial",67.8,53.8,2.9,4.3,10.8,6.8,NA,NA,"blue",17.7,18.3,2,2,2,2,NA,"testes damaged by shot; not original label","",NA,19.16
"606634","b",0.398424441333333,0.038019129,0.411843178,0.0415876183333333,0.405449066333333,0.0414059806666667,0.330519784,0.0321989746666667,0.369362068666667,0.0405056003333333,0.398424441333333,0.038019129,24.0517920810659,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2504,"GRG","JPA","T-472-a,b","ASY",NA,NA,"partial",64.8,54.2,3,3.7,10.9,6.4,17.7,NA,"blue",15.9,13.9,2,2,2,2,NA,"","",NA,18.82
"606634","c",0.06279535,0.026931698,0.052578528,0.027111183,0.066461442,0.028117657,0.077404671,0.028148865,0.121799951,0.03348545,0.06279535,0.026931698,68.3227622443235,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2504,"GRG","JPA","T-472-a,b","ASY",NA,NA,"partial",64.8,54.2,3,3.7,10.9,6.4,17.7,NA,"blue",15.9,13.9,2,2,2,2,NA,"","",NA,18.82
"606634","d",0.0647741233333333,0.0132445416666667,0.058139665,0.0109984613333333,0.06624756,0.0146595266666667,0.0825335616666667,0.018169252,0.0891526473333333,0.015315038,0.0647741233333333,0.0132445416666667,25.3668605742166,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2504,"GRG","JPA","T-472-a,b","ASY",NA,NA,"partial",64.8,54.2,3,3.7,10.9,6.4,17.7,NA,"blue",15.9,13.9,2,2,2,2,NA,"","",NA,18.82
"606634","o",0.078378003,0.0186613,0.075843374,0.018832235,0.079774324,0.020018556,0.088698489,0.019217448,0.099995422,0.020228391,0.078378003,0.0186613,5.38937887033214,"Setophaga caerulescens",11,"Jun",88,"Jefferson Nat'l Forest, 4.5mi ENE Norton, Little Stoney Creek; 920m","Wise","VA","M","VA.Wise","South",36.879225,-82.542415,2504,"GRG","JPA","T-472-a,b","ASY",NA,NA,"partial",64.8,54.2,3,3.7,10.9,6.4,17.7,NA,"blue",15.9,13.9,2,2,2,2,NA,"","",NA,18.82
