ID lon lat srtm PPT_sm PPT_sp Tave_sm Tave_sp
608409 -74.4540282 43.4890471 524 335.631186183879 317.639109274974 17.1992084508075 4.39920778701353
608411 -74.7798908 43.708677 642 333.06243517035 268.21515860568 16.6468788017785 3.74687824445964
608417 -74.7798908 43.708677 642 333.06243517035 268.21515860568 16.6468788017785 3.74687824445964
608419 -74.75517 43.71678 716 334.043391916519 268.419879493405 16.5956609292659 3.6828682113674
608426 -74.7388276 43.6333221 685 346.886130586079 290.807858398485 16.3930502664218 3.52521944923896
608427 -74.6857839 43.6310659 775 361.438046853977 305.638525744818 16.4005587583416 3.60055911894352
608428 -74.6857839 43.6310659 775 361.438046853977 305.638525744818 16.4005587583416 3.60055911894352
608568 -79.41061 39.03255 1076 388.490032645424 378.395946107984 17.214054239552 6.81173127385868
608573 -79.41061 39.03255 1076 388.490032645424 378.395946107984 17.214054239552 6.81173127385868
608575 -79.51135 39.06175 1069 410.273461707575 393.849756548622 17.4211226205259 6.82112285303056
608576 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608578 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608580 -79.51135 39.06175 1069 410.273461707575 393.849756548622 17.4211226205259 6.82112285303056
608583 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608585 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608587 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608590 -79.53341 39.06243 992 401.3951994993 386.275709062169 17.8755510925835 7.17555116693255
608618 -78.66564 40.23369 852 298.951430162938 301.925016333081 19.1995143749075 7.65458338234385
608621 -78.66564 40.23369 852 298.951430162938 301.925016333081 19.1995143749075 7.65458338234385
608624 -78.66564 40.23369 852 298.951430162938 301.925016333081 19.1995143749075 7.65458338234385
608626 -78.66564 40.23369 852 298.951430162938 301.925016333081 19.1995143749075 7.65458338234385
608628 -78.66237 40.22306 723 297.467054225788 300.852708355213 19.1711039604913 7.6573645344499
608629 -78.68679 40.24508 855 304.208341571755 301.263142446021 19.1336659980275 7.59999990463257
608630 -78.68679 40.24508 855 304.208341571755 301.263142446021 19.1336659980275 7.59999990463257
608631 -78.66463 40.22304 723 298.672423222136 301.836211611068 19.1240559497646 7.61553921930627
608641 -78.204 40.761 480 307.284335925369 274.098329326596 19.3847674099059 7.8054644125497
610037 -84.02686 35.34761 1322 475.620845998009 499.832951127801 18.5392143121284 9.32466298307038
610045 -84.02686 35.34761 1322 475.620845998009 499.832951127801 18.5392143121284 9.32466298307038
610049 -84.02686 35.34761 1322 475.620845998009 499.832951127801 18.5392143121284 9.32466298307038
610052 -84.02686 35.34761 1322 475.620845998009 499.832951127801 18.5392143121284 9.32466298307038
610062 -84.03101 35.33751 1354 480.213134677697 503.974010973389 18.3806275917786 9.14709514488948
610065 -84.03101 35.33751 1354 480.213134677697 503.974010973389 18.3806275917786 9.14709514488948
610076 -83.99466 35.35231 1283 472.640568766379 499.506903102645 18.541420100416 9.2844907114346
612854 -83.05503 35.00456 879 534.167298667996 470.551564334604 21.5730147612293 12.6906095576097
612855 -83.05467 35.00284 879 534.720411902896 470.93626173238 21.5584026712383 12.6826570346056
612856 -83.05503 35.00456 879 534.167298667996 470.551564334604 21.5730147612293 12.6906095576097
612857 -83.09102 34.96542 840 515.678007939626 457.662118961403 21.960167199021 12.9998350722413
612859 -83.05503 35.00456 879 534.167298667996 470.551564334604 21.5730147612293 12.6906095576097
612863 -83.05503 35.00456 879 534.167298667996 470.551564334604 21.5730147612293 12.6906095576097
612865 -83.05467 35.00284 879 534.720411902896 470.93626173238 21.5584026712383 12.6826570346056
612867 -83.05503 35.00456 879 534.167298667996 470.551564334604 21.5730147612293 12.6906095576097
612879 -84.01383 34.77231 891 427.974475060453 421.909076303319 20.8895705067859 11.4916948312506
612880 -84.01383 34.77231 891 427.974475060453 421.909076303319 20.8895705067859 11.4916948312506
612881 -84.01383 34.77231 891 427.974475060453 421.909076303319 20.8895705067859 11.4916948312506
612882 -84.01383 34.77231 891 427.974475060453 421.909076303319 20.8895705067859 11.4916948312506
612883 -84.00542 34.76412 830 429.007871507921 423.449527796766 21.0657021037595 11.688025311938
612884 -84.00542 34.76412 830 429.007871507921 423.449527796766 21.0657021037595 11.688025311938
612886 -84.00542 34.76412 830 429.007871507921 423.449527796766 21.0657021037595 11.688025311938
612889 -84.00799 34.76163 830 427.557163872817 422.028709225676 21.1923574706324 11.7932755090004
612890 -84.00542 34.76412 830 429.007871507921 423.449527796766 21.0657021037595 11.688025311938
