"ID","photo","pl_code","lumMean","lumSD","lwMean","lwSD","mwMean","mwSD","swMean","swSD","uvMean","uvSD","dblMean","dblSD","area","N"
"612941","ventral","v",0.279670891,0.122852187,0.281159329,0.128966087,0.279789956,0.122356045,0.261479952,0.101649138,0.330214066,0.127981867,0.279670891,0.122852187,1126976,1
"614261","dorsal","d",0.0542302163333333,0.012940385,0.0509569086666667,0.0105548853333333,0.0555492453333333,0.013457409,0.0679298063333333,0.0182499056666667,0.0791499123333333,0.013239231,0.0542302163333333,0.012940385,35976,3
"614261","dorsal","f",0.054865993,0.013368452,0.051403116,0.010847863,0.056194783,0.01390787,0.068813847,0.018864293,0.080359762,0.014080562,0.054865993,0.013368452,260853,1
"614261","side","w",0.413835739,0.148100671,0.428775963,0.159565628,0.410387822,0.147244681,0.363773745,0.116911008,0.360831627,0.092226711,0.413835739,0.148100671,104601,1
"614261","ventral","b",0.347211915333333,0.072981136,0.354981790333333,0.0771377733333333,0.341946002,0.0726042786666667,0.320374690333333,0.0628298656666667,0.351030622333333,0.0586266513333333,0.347211915333333,0.072981136,33675.3333333333,3
"614261","ventral","t",0.036154091,0.007236419,0.035305181,0.007605114,0.037505878,0.008075592,0.046377213,0.009685381,0.047273784,0.009400277,0.036154091,0.007236419,139245,1
"614261","ventral","v",0.32010093,0.109278011,0.326898378,0.114026222,0.315281117,0.10693068,0.297765657,0.096696813,0.322488396,0.106466851,0.32010093,0.109278011,1311355,1
"614262","dorsal","d",0.0729220036666667,0.028701769,0.0652931626666667,0.0252684463333333,0.07418135,0.031799707,0.0926763346666667,0.033411171,0.110703620666667,0.0229596666666667,0.0729220036666667,0.028701769,35492.3333333333,3
"614262","dorsal","f",0.072768237,0.027262135,0.066046442,0.024382903,0.074025025,0.030014727,0.091035358,0.030960043,0.10960444,0.025302116,0.072768237,0.027262135,508519,1
"614262","side","o",0.060583374,0.017091161,0.059151177,0.015155176,0.061572643,0.018438223,0.072098769,0.021348668,0.086450309,0.025248198,0.060583374,0.017091161,52408,1
"614262","side","w",0.413397983,0.116714045,0.42351896,0.121305898,0.407548345,0.116290545,0.375352889,0.099845274,0.37379637,0.10492314,0.413397983,0.116714045,40502,1
"614262","ventral","b",0.435554143333333,0.0690430003333333,0.446620632666667,0.0750168836666667,0.425437723,0.069192384,0.395146466333333,0.0579092563333333,0.460263708666667,0.050095103,0.435554143333333,0.0690430003333333,34487,3
"614262","ventral","t",0.035625947,0.006725908,0.035684742,0.007915398,0.036927885,0.00755719,0.044518495,0.008685389,0.044316014,0.007772645,0.035625947,0.006725908,139083,1
"614262","ventral","v",0.34741457,0.137592451,0.353028884,0.145287027,0.340639015,0.134494075,0.324052462,0.114929563,0.372696909,0.123933251,0.34741457,0.137592451,940986,1
"614268","side","o",0.075995555,0.020461692,0.072744067,0.020061667,0.07719203,0.021194666,0.088711228,0.02363754,0.10298625,0.028883748,0.075995555,0.020461692,41438,1
"614268","side","w",0.34221936,0.131504785,0.348648332,0.139037698,0.336630289,0.127789333,0.321567944,0.11380037,0.372186539,0.076329945,0.34221936,0.131504785,41612,1
"614268","ventral","b",0.387035575666667,0.0732331646666667,0.399309726666667,0.079517088,0.380476443333333,0.0726567856666667,0.350726041,0.062591564,0.370989904666667,0.0716194526666667,0.387035575666667,0.0732331646666667,32950.3333333333,3
"614268","ventral","t",0.041295387,0.008402608,0.042444919,0.010133469,0.042295377,0.009174045,0.049239537,0.010414466,0.048976105,0.01022593,0.041295387,0.008402608,170045,1
"614268","ventral","v",0.34090775,0.131246547,0.350309118,0.141944681,0.334799796,0.128596995,0.315505141,0.107428665,0.336485198,0.105151738,0.34090775,0.131246547,1269276,1
